"","borough","neighborhood","building_class_category","tax_class_present","block","lot","easement","building_class_present","address","apartment_number","zip_code","residential_units","commmercial_units","total_units","land_sq_feet","gross_sq_feet","year_built","tax_class_time_sale","build_class_time_sale","sale_price","sale_date","serialid","sale_year","sale_month"
"5631",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5871,91,"","A5","24 BAY RIDGE PLACE","",11209,1,0,1,1600,1400,1910,1,"A5",585000,"2009-10-29",5631,9,9
"5635",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,38,"","A5","7014 LOUISE TERRACE","",11209,1,0,1,1169,1224,1925,1,"A5",515000,"2009-10-15",5635,9,9
"5636",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,50,"","A5","7009 LOUISE TERRACE","",11209,1,0,1,945,1836,1925,1,"A5",499900,"2009-04-20",5636,9,3
"5637",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,80,"","A5","7002 COLONIAL ROAD","",11209,1,0,1,1121,1330,1925,1,"A5",525000,"2009-09-02",5637,9,8
"5638",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,81,"","A5","7004 COLONIAL ROAD","",11209,1,0,1,1118,1224,1925,1,"A5",4e+05,"2009-07-24",5638,9,6
"5639",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5885,45,"","A5","7037 RIDGECREST TERRACE","",11209,1,0,1,1942,1938,1925,1,"A5",643118,"2009-06-01",5639,9,5
"5642",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5890,59,"","A5","249 72ND   STREET","",11209,1,0,1,1667,2444,1925,1,"A5",390000,"2009-05-26",5642,9,4
"5646",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5905,23,"","A5","94 72ND   STREET","",11209,1,0,1,2000,2048,1920,1,"A5",725000,"2009-11-10",5646,9,10
"5647",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5905,31,"","A5","110 72ND   STREET","",11209,1,0,1,2000,1880,1910,1,"A5",525000,"2009-07-27",5647,9,6
"5648",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5905,31,"","A5","110 72ND   STREET","",11209,1,0,1,2000,1880,1910,1,"A5",4e+05,"2009-03-27",5648,9,2
"5651",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5916,12,"","A5","138 73RD   STREET","",11209,1,0,1,1933,1264,1925,1,"A5",535000,"2009-07-28",5651,9,6
"5653",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5916,15,"","A5","144 73 STREET","",11209,1,0,1,1967,1216,1925,1,"A5",606500,"2009-11-24",5653,9,10
"5655",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5921,71,"","A4","635 74 STREET","",11209,1,0,1,2000,2083,1910,1,"A4",750000,"2009-11-02",5655,9,10
"5656",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5929,63,"","A4","341 BAY RIDGE PARKWAY","",11209,1,0,1,1880,2100,1910,1,"A4",550000,"2009-02-27",5656,9,1
"5658",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,27,"","A4","458 74TH STREET","",11209,1,0,1,1887,2640,1899,1,"A4",824000,"2009-06-04",5658,9,5
"5659",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,57,"","A9","475 BAY RIDGE PARKWAY","",11209,1,0,1,823,2200,1910,1,"A9",505000,"2009-06-04",5659,9,5
"5661",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5932,33,"","A9","660 74TH STREET","",11209,1,0,1,1896,1444,1925,1,"A9",83000,"2009-09-22",5661,9,8
"5663",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5936,38,"","A1","7518 NARROWS AVENUE","",11209,1,0,1,3815,3169,1925,1,"A1",960000,"2009-08-12",5663,9,7
"5669",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5947,9,"","A1","7601 NARROWS AVENUE","",11209,1,0,1,2800,1704,1925,1,"A1",2100000,"2009-05-29",5669,9,4
"5673",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5948,7,"","A9","7609 COLONIAL ROAD","",11209,1,0,1,2001,2768,1920,1,"A9",675000,"2009-04-28",5673,9,3
"5674",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5949,54,"","A1","269 77TH   STREET","",11209,1,0,1,2187,1852,1935,1,"A1",761000,"2009-06-18",5674,9,5
"5677",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5953,72,"","A5","651 77TH   STREET","",11209,1,0,1,2100,1666,1920,1,"A5",690000,"2009-12-01",5677,9,11
"5678",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5956,9,"","A1","1 78TH STREET","",11209,1,0,1,2015,1710,1926,1,"A1",705000,"2009-12-30",5678,9,11
"5680",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5956,53,"","A1","35 79TH   STREET","",11209,1,0,1,2700,1460,1925,1,"A1",915000,"2009-02-24",5680,9,1
"5681",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5956,70,"","A1","10 78 STREET","",11209,1,0,1,2000,884,1925,1,"A1",1e+05,"2009-12-04",5681,9,11
"5683",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5957,75,"","A9","45 78TH STREET","",11209,1,0,1,2296,1408,1925,1,"A9",790000,"2009-10-01",5683,9,9
"5685",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5959,22,"","A1","234 77TH   STREET","",11209,1,0,1,3280,2986,1910,1,"A1",808000,"2009-05-14",5685,9,4
"5691",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5966,5,"","A1","7801 NARROWS AVENUE","",11209,1,0,1,4000,3074,2000,1,"A1",1570000,"2009-09-16",5691,9,8
"5692",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5966,35,"","A1","7802 COLONIAL ROAD","",11209,1,0,1,3350,2495,1925,1,"A1",940000,"2009-12-16",5692,9,11
"5693",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5967,42,"","A1","7810 RIDGE BOULEVARD","",11209,1,0,1,3700,3410,1925,1,"A1",1100000,"2009-10-16",5693,9,9
"5694",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5969,61,"","A5","351 79TH   STREET","",11209,1,0,1,2187,1264,1925,1,"A5",773000,"2009-09-17",5694,9,8
"5698",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5975,246,"","A3","8025 HARBOR VIEW TERRACE","",11209,1,0,1,4300,3274,1930,1,"A3",1900000,"2009-09-18",5698,9,8
"5701",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5980,25,"","A1","444 79TH   STREET","",11209,1,0,1,4000,2453,1910,1,"A1",799000,"2009-08-28",5701,9,7
"5703",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5982,28,"","A5","648 79TH   STREET","",11209,1,0,1,1900,2200,1910,1,"A5",435750,"2009-07-24",5703,9,6
"5704",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5985,13,"","A1","72 80TH   STREET","",11209,1,0,1,3280,3488,1925,1,"A1",2525000,"2009-07-01",5704,9,6
"5706",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5986,6,"","A1","8011 COLONIAL ROAD","",11209,1,0,1,3600,2681,1920,1,"A1",999000,"2009-06-03",5706,9,5
"5708",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5986,68,"","A1","151 81ST STREET","",11209,1,0,1,2788,1392,1920,1,"A1",915000,"2009-08-27",5708,9,7
"5713",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5997,22,"","A5","334 81ST   STREET","",11209,1,0,1,2187,1600,1920,1,"A5",620000,"2009-07-29",5713,9,6
"5719",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6008,57,"","A5","465 83RD STREET","",11209,1,0,1,2225,1586,1920,1,"A5",350000,"2009-06-23",5719,9,5
"5720",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6015,19,"","A1","128 83RD   STREET","",11209,1,0,1,3000,1897,1925,1,"A1",950000,"2009-12-29",5720,9,11
"5722",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6015,31,"","A1","160 83RD   STREET","",11209,1,0,1,6000,4096,1905,1,"A1",1400000,"2009-07-02",5722,9,6
"5723",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6015,50,"","A1","165 84TH   STREET","",11209,1,0,1,4000,2855,1905,1,"A1",1575000,"2009-09-01",5723,9,8
"5724",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6015,67,"","A1","123 84TH STREET","",11209,1,0,1,2667,1709,1930,1,"A1",980000,"2009-03-04",5724,9,2
"5727",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6023,42,"","A3","8420 RIDGE BOULEVARD","",11209,1,0,1,7000,3290,1910,1,"S1",1670000,"2009-04-20",5727,9,3
"5731",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6031,54,"","A5","79 86TH   STREET","",11209,1,0,1,3614,2193,1920,1,"A5",960000,"2009-10-23",5731,9,9
"5734",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6046,43,"","A9","81 88TH ST","",11209,1,0,1,2500,2066,1930,1,"A9",5e+05,"2009-06-26",5734,9,5
"5735",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6049,110,"","A5","316 87TH STREET","",11209,1,0,1,1667,1952,1925,1,"A5",640000,"2009-07-15",5735,9,6
"5739",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6059,6,"","A1","30 88TH   STREET","",11209,1,0,1,4000,2650,1925,1,"A1",1400000,"2009-04-09",5739,9,3
"5742",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6059,38,"","A3","8824 COLONIAL ROAD","",11209,1,0,1,2550,2822,1925,1,"S1",810000,"2009-10-01",5742,9,9
"5745",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6062,15,"","A5","326 88TH STREET","",11209,1,0,1,2000,1280,1920,1,"A5",645000,"2009-10-23",5745,9,9
"5746",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6063,21,"","A5","236 89TH STREET","",11209,1,0,1,2000,1630,1925,1,"A5",558000,"2009-07-16",5746,9,6
"5748",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6067,28,"","A5","518 88TH STREET","",11209,1,0,1,1868,2052,1940,1,"A5",605000,"2009-07-28",5748,9,6
"5752",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6078,52,"","A1","70 89TH   STREET","",11209,1,0,1,6420,2791,1925,1,"A1",1325000,"2009-04-08",5752,9,3
"5753",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6078,53,"","A9","72 89TH   STREET","",11209,1,0,1,4100,1480,1925,1,"A9",875000,"2009-10-02",5753,9,9
"5754",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6078,55,"","A1","78 89TH STREET","",11209,1,0,1,5610,3343,1925,1,"A1",1e+06,"2009-02-26",5754,9,1
"5755",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6078,86,"","A1","63 91 STREET","",11209,1,0,1,2613,1376,1925,1,"A1",7e+05,"2009-11-19",5755,9,10
"5756",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6078,120,"","A5","8924 SHORE COURT","",11209,1,0,1,2550,2136,1925,1,"A5",869000,"2009-12-18",5756,9,11
"5757",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6078,245,"","A5","8903 SHORE COURT","",11209,1,0,1,1650,2473,1925,1,"A5",6e+05,"2009-06-18",5757,9,5
"5760",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6080,15,"","A9","222 90TH   STREET","",11209,1,0,1,2200,1440,1925,1,"A9",857500,"2009-08-27",5760,9,7
"5761",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6084,17,"","A1","132 91ST STREET","",11209,1,0,1,2500,1408,1925,1,"A1",875000,"2009-10-27",5761,9,9
"5762",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6084,18,"","A1","136 91 STREET","",11209,1,0,1,2500,1408,1925,1,"A1",735000,"2009-08-13",5762,9,7
"5766",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6100,23,"","A1","52 OLIVER STREET","",11209,1,0,1,2500,1472,1925,1,"A1",710000,"2009-10-23",5766,9,9
"5767",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6100,25,"","A1","58 OLIVER","",11209,1,0,1,2600,1472,1925,1,"A1",805000,"2009-06-19",5767,9,5
"5768",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6104,28,"","A1","42 93RD STREET","",11209,1,0,1,3000,1735,1925,1,"A1",880000,"2009-08-03",5768,9,7
"5769",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6106,30,"","A1","266 93RD   STREET","",11209,1,0,1,2500,1748,1925,1,"A1",750000,"2009-03-09",5769,9,2
"5770",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6107,76,"","A5","9317 LAFAYETTE WALK","",11209,1,0,1,1021,910,1925,1,"A5",405000,"2009-03-13",5770,9,2
"5771",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6107,77,"","A5","9319 LAFAYETTE WALK","",11209,1,0,1,1021,910,1925,1,"A5",480000,"2009-08-20",5771,9,7
"5772",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6107,82,"","A5","9329 LAFAYETTE WALK","",11209,1,0,1,1021,1365,1925,1,"A5",375000,"2009-01-29",5772,9,0
"5773",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6109,32,"","A5","522 92ND   STREET","",11209,1,0,1,1253,1160,1925,1,"A5",490000,"2009-09-11",5773,9,8
"5775",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6110,65,"","A9","213 GELSTON AVENUE","",11209,1,0,1,737,762,1915,1,"A9",405000,"2009-02-11",5775,9,1
"5776",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6127,8,"","A5","427 MARINE AVENUE","",11209,1,0,1,2438,1144,1930,1,"A5",571608,"2009-12-29",5776,9,11
"5779",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6137,50,"","A5","329 101ST   STREET","",11209,1,0,1,2250,2272,1925,1,"A5",667500,"2009-05-18",5779,9,4
"5780",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6138,22,"","A2","436 100TH STREET","",11209,1,0,1,2074,1554,1935,1,"A2",530000,"2009-12-18",5780,9,11
"5781",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",6141,80,"","A5","280 BATTERY AVENUE","",11209,1,0,1,1476,1764,1955,1,"A5",490000,"2009-01-30",5781,9,0
"5826",3,"BAY RIDGE","02  TWO FAMILY HOMES","1",5882,12,"","A1","62 70TH   STREET","",11209,1,0,1,5267,3882,1925,1,"B3",825000,"2009-09-29",5826,9,8
"6016",3,"BAY RIDGE","03  THREE FAMILY HOMES","1",6032,66,"","A3","135 86TH   STREET","",11209,1,0,1,7510,4923,1910,1,"C0",1300000,"2009-06-04",6016,9,5
"80059",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5869,57,"","A5","95 70TH   STREET","",11209,1,0,1,2117,1440,1925,1,"A5",665000,"2010-04-23",80059,10,3
"80060",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5869,65,"","A5","79 70 STREET","",11209,1,0,1,1933,1440,1925,1,"A5",625000,"2010-02-26",80060,10,1
"80061",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5871,5,"","A4","6931 RIDGE BLVD","",11209,1,0,1,1800,2634,1899,1,"A4",710000,"2010-02-12",80061,10,1
"80062",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5871,12,"","A4","6915 RIDGE BOULEVARD","",11209,1,0,1,1800,2634,1899,1,"A4",815000,"2010-03-29",80062,10,2
"80063",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5871,108,"","A5","23 BAY RIDGE PLACE","",11209,1,0,1,1900,1400,1920,1,"A5",575000,"2010-08-12",80063,10,7
"80065",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5873,63,"","A1","471 OVINGTON AVENUE","",11209,1,0,1,4352,2294,1915,1,"A1",710000,"2010-12-29",80065,10,11
"80068",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5882,42,"","A5","7024 LOUISE TERRACE","",11209,1,0,1,1313,1330,1925,1,"A5",660000,"2010-08-13",80068,10,7
"80069",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5884,17,"","A5","62A MACKAY PLACE","",11209,1,0,1,1139,1024,1930,1,"A5",530000,"2010-06-24",80069,10,5
"80070",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5885,60,"","A5","7007 RIDGECREST TERRACE","",11209,1,0,1,1942,1938,1925,1,"A5",515000,"2010-08-30",80070,10,7
"80071",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5885,102,"","A5","7001 PERRY TERRACE","",11209,1,0,1,2625,2147,1925,1,"A5",527000,"2010-08-30",80071,10,7
"80072",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5888,59,"","A4","93 72ND STREET","",11209,1,0,1,2000,1828,1925,1,"A4",620000,"2010-01-11",80072,10,0
"80073",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5894,52,"","A5","643 71ST STREET","",11209,1,0,1,1847,1580,1925,1,"A5",623000,"2010-06-17",80073,10,5
"80081",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5911,69,"","A1","637 73RD   STREET","",11209,1,0,1,4000,1080,1920,1,"A1",645000,"2010-10-15",80081,10,9
"80083",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5926,70,"","A5","41 BAY RIDGE PARKWAY","",11209,1,0,1,1692,1288,1920,1,"A5",625000,"2010-06-17",80083,10,5
"80084",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5929,65,"","A4","337 BAY RIDGE PARKWAY","",11209,1,0,1,1880,1432,1910,1,"A4",685000,"2010-08-16",80084,10,7
"80085",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,22,"","A4","446 74TH   STREET","",11209,1,0,1,1793,2926,1899,1,"A4",836000,"2010-01-08",80085,10,0
"80086",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,25,"","A4","454 74TH   STREET","",11209,1,0,1,1860,2640,1899,1,"A4",549000,"2010-07-27",80086,10,6
"80087",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5930,29,"","A4","464 74TH STREET","",11209,1,0,1,1933,1760,1899,1,"A4",810000,"2010-01-21",80087,10,0
"80089",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5937,35,"","A5","82 BAY RIDGE PARKWAY","",11209,1,0,1,2000,1640,1920,1,"A5",711000,"2010-09-23",80089,10,8
"80090",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5937,36,"","A5","84 BAY RIDGE PARKWAY","",11209,1,0,1,2000,2340,1920,1,"A5",650000,"2010-06-03",80090,10,5
"80091",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5938,4,"","A9","7515 COLONIAL ROAD","",11209,1,0,1,2000,1504,1925,1,"A9",355000,"2010-07-08",80091,10,6
"80092",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5938,7,"","A9","7507 COLONIAL ROAD","",11209,1,0,1,1880,1504,1925,1,"A9",190000,"2010-12-21",80092,10,11
"80095",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5941,59,"","A5","453 76TH   STREET","",11209,1,0,1,2000,1576,1925,1,"A5",854000,"2010-10-19",80095,10,9
"80097",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5942,61,"","A4","567 76TH STREET","",11209,1,0,1,2000,2160,1905,1,"A4",300500,"2010-10-01",80097,10,9
"80098",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5943,73,"","A4","629 76TH   STREET","",11209,1,0,1,2000,2083,1901,1,"A4",760000,"2010-07-01",80098,10,6
"80101",3,"BAY RIDGE","01  ONE FAMILY HOMES","1",5947,49,"","A5","7626 COLONIAL ROAD","",11209,1,0,1,2000,2000,1925,1,"A5",910000,"2010-01-19",80101,10,0
